industry,company,ticker,report_year,report_url,notes
Semiconductors,ASML,ASML,2023,,Global Impact / ESG Report
Semiconductors,Applied Materials,AMAT,2023,,Sustainability Report
Semiconductors,KLA,KLAC,2023,,Global Impact Report
Semiconductors,Lam Research,LRCX,2023,,ESG Report
Semiconductors,Tokyo Electron,TOELY,2023,,Sustainability Report
Semiconductors,TEL,TOELY,2023,,Alias for Tokyo Electron (matches existing folder name)
Semiconductors,Intel,INTC,2023,,Corporate Responsibility Report
Semiconductors,NVIDIA,NVDA,2023,,Sustainability Report
Pharmaceuticals,Pfizer,PFE,2023,,ESG Report
Pharmaceuticals,Merck,MRK,2023,,Impact Report
Pharmaceuticals,Novartis,NVS,2023,,Novartis in Society Integrated Report
Pharmaceuticals,Roche,RHHBY,2023,,Sustainability Report
Pharmaceuticals,GSK,GSK,2023,,ESG Performance Report
Pharmaceuticals,Eli Lilly,LLY,2023,,ESG Report
Oil & Gas,ExxonMobil,XOM,2023,,Advancing Climate Solutions / Sustainability Report
Oil & Gas,Shell,SHEL,2023,,Sustainability Report
Oil & Gas,BP,BP,2023,,Sustainability Report
Oil & Gas,Chevron,CVX,2023,,Corporate Sustainability Report
Oil & Gas,TotalEnergies,TTE,2023,,Sustainability & Climate Report
Oil & Gas,ConocoPhillips,COP,2023,,Sustainability Report
Big Tech,Microsoft,MSFT,2023,,Environmental Sustainability Report
Big Tech,Alphabet (Google),GOOGL,2023,,Environmental Report
Big Tech,Meta,META,2023,,Sustainability Report
Big Tech,Amazon,AMZN,2023,,Sustainability Report
Big Tech,Apple,AAPL,2023,,Environmental Progress Report
Banking,JPMorgan Chase,JPM,2023,,ESG Report
Banking,Bank of America,BAC,2023,,ESG Performance Data Summary
Banking,Citigroup,C,2023,,ESG Report
Banking,Goldman Sachs,GS,2023,,Sustainability Report
Banking,Morgan Stanley,MS,2023,,Sustainability Report
Banking,HSBC,HSBC,2023,,ESG Review
Automotive,Toyota,TM,2023,,Sustainability Data Book
Automotive,Ford,F,2023,,Integrated Sustainability & Financial Report
Automotive,General Motors,GM,2023,,Sustainability Report
Automotive,Volkswagen,VWAGY,2023,,Sustainability Report
Automotive,BMW,BMWYY,2023,,Group Report (integrated)
Automotive,Honda,HMC,2023,,Sustainability Report
Retail & CPG,Walmart,WMT,2023,,ESG Highlights / Report
Retail & CPG,Target,TGT,2023,,Corporate Responsibility Report
Retail & CPG,Costco,COST,2023,,Sustainability Report
Retail & CPG,Unilever,UL,2023,,Sustainability Report
Retail & CPG,Procter & Gamble,PG,2023,,Citizenship Report
Retail & CPG,Nestle,NSRGY,2023,,Creating Shared Value Report
Airlines,Delta,DAL,2023,,ESG Report
Airlines,American Airlines,AAL,2023,,ESG Report
Airlines,United Airlines,UAL,2023,,Corporate Responsibility Report
Airlines,Lufthansa,DLAKY,2023,,Sustainability Report
Telecom,AT&T,T,2023,,Sustainability Summary
Telecom,Verizon,VZ,2023,,ESG Report
Telecom,T-Mobile,TMUS,2023,,Corporate Responsibility Report
Telecom,Vodafone,VOD,2023,,ESG Addendum
Utilities,Duke Energy,DUK,2023,,Impact Report
Utilities,NextEra Energy,NEE,2023,,Sustainability Report
Utilities,Southern Company,SO,2023,,Corporate Responsibility Report
Utilities,Exelon,EXC,2023,,Sustainability Report
Apparel,Nike,NKE,2023,,Impact Report
Apparel,Adidas,ADDYY,2023,,Sustainability Report
Apparel,Levi Strauss,LEVI,2023,,Sustainability Report
Apparel,VF Corporation,VFC,2023,,Made for Change Report
Food & Beverage,Coca-Cola,KO,2023,,Business & Sustainability Report
Food & Beverage,PepsiCo,PEP,2023,,ESG Summary
Food & Beverage,McDonald's,MCD,2023,,Purpose & Impact Report
Food & Beverage,Starbucks,SBUX,2023,,Global Impact Report
